tag,model_name,model_id,modelVersion_name,modelVersion_id,modelVersion_url,modelVersion_trainedWords,model_download_count,baseModel
german,Winkler Diffusion / Drachenlord / Rainer Winkler,27767,v1,33248,https://civitai.com/api/download/models/33248,['rainerwinkler'],101,SD 1.5
drachenlord,Winkler Diffusion / Drachenlord / Rainer Winkler,27767,v1,33248,https://civitai.com/api/download/models/33248,['rainerwinkler'],101,SD 1.5
concept art,fantasy-art-style,3164,fantasy-art-style-v2-0,23286,https://civitai.com/api/download/models/23286,['dbfantasyart'],4324,SD 1.5
style,fantasy-art-style,3164,fantasy-art-style-v2-0,23286,https://civitai.com/api/download/models/23286,['dbfantasyart'],4324,SD 1.5
digital illustration,fantasy-art-style,3164,fantasy-art-style-v2-0,23286,https://civitai.com/api/download/models/23286,['dbfantasyart'],4324,SD 1.5
painterly,fantasy-art-style,3164,fantasy-art-style-v2-0,23286,https://civitai.com/api/download/models/23286,['dbfantasyart'],4324,SD 1.5
girl,Pixar Style Model,15773,v1.0,18617,https://civitai.com/api/download/models/18617,['pixarstyle'],7734,SD 1.5
disney,Pixar Style Model,15773,v1.0,18617,https://civitai.com/api/download/models/18617,['pixarstyle'],7734,SD 1.5
3d,Pixar Style Model,15773,v1.0,18617,https://civitai.com/api/download/models/18617,['pixarstyle'],7734,SD 1.5
digital art,Pixar Style Model,15773,v1.0,18617,https://civitai.com/api/download/models/18617,['pixarstyle'],7734,SD 1.5
3d render,Pixar Style Model,15773,v1.0,18617,https://civitai.com/api/download/models/18617,['pixarstyle'],7734,SD 1.5
pixar,Pixar Style Model,15773,v1.0,18617,https://civitai.com/api/download/models/18617,['pixarstyle'],7734,SD 1.5
style,Pixar Style Model,15773,v1.0,18617,https://civitai.com/api/download/models/18617,['pixarstyle'],7734,SD 1.5
art style,Pixar Style Model,15773,v1.0,18617,https://civitai.com/api/download/models/18617,['pixarstyle'],7734,SD 1.5
woman,Pixar Style Model,15773,v1.0,18617,https://civitai.com/api/download/models/18617,['pixarstyle'],7734,SD 1.5
artstyle,Pixar Style Model,15773,v1.0,18617,https://civitai.com/api/download/models/18617,['pixarstyle'],7734,SD 1.5
cartoon,Pixar Style Model,15773,v1.0,18617,https://civitai.com/api/download/models/18617,['pixarstyle'],7734,SD 1.5
digital illustration,Pixar Style Model,15773,v1.0,18617,https://civitai.com/api/download/models/18617,['pixarstyle'],7734,SD 1.5
faces,Pixar Style Model,15773,v1.0,18617,https://civitai.com/api/download/models/18617,['pixarstyle'],7734,SD 1.5
male,Pixar Style Model,15773,v1.0,18617,https://civitai.com/api/download/models/18617,['pixarstyle'],7734,SD 1.5
man,Pixar Style Model,15773,v1.0,18617,https://civitai.com/api/download/models/18617,['pixarstyle'],7734,SD 1.5
portraits,Pixar Style Model,15773,v1.0,18617,https://civitai.com/api/download/models/18617,['pixarstyle'],7734,SD 1.5
toon,Pixar Style Model,15773,v1.0,18617,https://civitai.com/api/download/models/18617,['pixarstyle'],7734,SD 1.5
anime,Unlimited Replicant,97085,v1.0,103752,https://civitai.com/api/download/models/103752,"['masterpiece,anime,1girl']",191,SD 2.1 768
character,Unlimited Replicant,97085,v1.0,103752,https://civitai.com/api/download/models/103752,"['masterpiece,anime,1girl']",191,SD 2.1 768
girls,Unlimited Replicant,97085,v1.0,103752,https://civitai.com/api/download/models/103752,"['masterpiece,anime,1girl']",191,SD 2.1 768
anime,chosen Irises-mix,60196,chosen Irises-mix v1.0,64674,https://civitai.com/api/download/models/64674,[''],1173,SD 1.5
female,chosen Irises-mix,60196,chosen Irises-mix v1.0,64674,https://civitai.com/api/download/models/64674,[''],1173,SD 1.5
colorful,chosen Irises-mix,60196,chosen Irises-mix v1.0,64674,https://civitai.com/api/download/models/64674,[''],1173,SD 1.5
style,chosen Irises-mix,60196,chosen Irises-mix v1.0,64674,https://civitai.com/api/download/models/64674,[''],1173,SD 1.5
art style,chosen Irises-mix,60196,chosen Irises-mix v1.0,64674,https://civitai.com/api/download/models/64674,[''],1173,SD 1.5
woman,chosen Irises-mix,60196,chosen Irises-mix v1.0,64674,https://civitai.com/api/download/models/64674,[''],1173,SD 1.5
game character,chosen Irises-mix,60196,chosen Irises-mix v1.0,64674,https://civitai.com/api/download/models/64674,[''],1173,SD 1.5
girls,chosen Irises-mix,60196,chosen Irises-mix v1.0,64674,https://civitai.com/api/download/models/64674,[''],1173,SD 1.5
portraits,chosen Irises-mix,60196,chosen Irises-mix v1.0,64674,https://civitai.com/api/download/models/64674,[''],1173,SD 1.5
video game,chosen Irises-mix,60196,chosen Irises-mix v1.0,64674,https://civitai.com/api/download/models/64674,[''],1173,SD 1.5
style,djz Robot Wars,23842,v21,28491,https://civitai.com/api/download/models/28491,['robotwars'],171,SD 2.1 768
robot,djz Robot Wars,23842,v21,28491,https://civitai.com/api/download/models/28491,['robotwars'],171,SD 2.1 768
wars,djz Robot Wars,23842,v21,28491,https://civitai.com/api/download/models/28491,['robotwars'],171,SD 2.1 768
base model,ColbyMix,87734,v1.0,93375,https://civitai.com/api/download/models/93375,[''],167,SD 1.5
wwa,ColbyMix,87734,v1.0,93375,https://civitai.com/api/download/models/93375,[''],167,SD 1.5
anime,azaleablossomMIX -original-,48757,V1,53336,https://civitai.com/api/download/models/53336,[''],966,SD 1.5
photorealistic,azaleablossomMIX -original-,48757,V1,53336,https://civitai.com/api/download/models/53336,[''],966,SD 1.5
sexy,azaleablossomMIX -original-,48757,V1,53336,https://civitai.com/api/download/models/53336,[''],966,SD 1.5
female,azaleablossomMIX -original-,48757,V1,53336,https://civitai.com/api/download/models/53336,[''],966,SD 1.5
base model,azaleablossomMIX -original-,48757,V1,53336,https://civitai.com/api/download/models/53336,[''],966,SD 1.5
woman,azaleablossomMIX -original-,48757,V1,53336,https://civitai.com/api/download/models/53336,[''],966,SD 1.5
girls,azaleablossomMIX -original-,48757,V1,53336,https://civitai.com/api/download/models/53336,[''],966,SD 1.5
realistic,azaleablossomMIX -original-,48757,V1,53336,https://civitai.com/api/download/models/53336,[''],966,SD 1.5
semirealistic,azaleablossomMIX -original-,48757,V1,53336,https://civitai.com/api/download/models/53336,[''],966,SD 1.5
anime,siiNCeysMix-V2 Renewed,92661,v2.0,98778,https://civitai.com/api/download/models/98778,[''],996,SD 1.5
sexy,siiNCeysMix-V2 Renewed,92661,v2.0,98778,https://civitai.com/api/download/models/98778,[''],996,SD 1.5
female,siiNCeysMix-V2 Renewed,92661,v2.0,98778,https://civitai.com/api/download/models/98778,[''],996,SD 1.5
style,siiNCeysMix-V2 Renewed,92661,v2.0,98778,https://civitai.com/api/download/models/98778,[''],996,SD 1.5
woman,siiNCeysMix-V2 Renewed,92661,v2.0,98778,https://civitai.com/api/download/models/98778,[''],996,SD 1.5
girls,siiNCeysMix-V2 Renewed,92661,v2.0,98778,https://civitai.com/api/download/models/98778,[''],996,SD 1.5
portraits,siiNCeysMix-V2 Renewed,92661,v2.0,98778,https://civitai.com/api/download/models/98778,[''],996,SD 1.5
landscape,siiNCeysMix-V2 Renewed,92661,v2.0,98778,https://civitai.com/api/download/models/98778,[''],996,SD 1.5
2.5d,siiNCeysMix-V2 Renewed,92661,v2.0,98778,https://civitai.com/api/download/models/98778,[''],996,SD 1.5
anime,BluePastel,32333,V1,38765,https://civitai.com/api/download/models/38765,[''],1375,SD 1.5
female,BluePastel,32333,V1,38765,https://civitai.com/api/download/models/38765,[''],1375,SD 1.5
style,BluePastel,32333,V1,38765,https://civitai.com/api/download/models/38765,[''],1375,SD 1.5
woman,BluePastel,32333,V1,38765,https://civitai.com/api/download/models/38765,[''],1375,SD 1.5
